SMILES,ID,Database
CC(=C)[C@H]1CC[C@]2([C@H]1[C@@H]3CC[C@H]4[C@@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)/C=C/c6ccc(cc6)O)C)C(=O)O,17,AfroDb
CC(C)[C@H]\1CCC(=C)[C@H](CC[C@](/C=C1)(C)O)O,17_3_1_11_12,AfroDb
CC(C)C1=CC[C@]2([C@H](CC[C@]([C@H]2C1)(C)O)O)C,ABD_UD_001,AfroDb
Cc1cc2c(c(c1)O)C(=O)c3c(cccc3O)[C@@]2(c4ccc5c(c4O)C(=O)c6c(cc(c(c6C5=O)O)C)O)O,ABD_UD_002,AfroDb
C[N@]1CCc2cc(c(c3c2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(cc7O3)OC)CCN6)O)OC)OC,ABD_UD_002B_1,AfroDb
c1cc(ccc1/C=C/C(=O)O)O,ABD_UD_002D,AfroDb
CC(=CCC1=C(C(=O)c2ccccc2C1=O)O)C,ABD_UD_003,AfroDb
Cc1cc(c(c(c1C(=O)Oc2cc(c(c(c2C)O)C(=O)OC)C)O)C=O)O,ABD_UD_004,AfroDb
C=C/C=C(\C=C)/C=C/C(=O)O[C@H]1[C@@H]2C=CO[C@@H]([C@H]2[C@]3([C@@H]1O3)CO)O[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)CO)O)O)O,ABD_UD_005,AfroDb
C[C@H]1C[C@H]2[C@H](C[C@@]1(C)O)C3=CC[C@@H]4[C@]5(C[C@@H]([C@H](C([C@H]5CC[C@@]46[C@@]3(C6)C[C@@H]2C(=O)O)(C)C)O)O)C,ABD_UD_006,AfroDb
CC(=O)O[C@H]1CCC([C@@]2([C@H]1C[C@H]3CC4=C(CCO4)C(=O)[C@@H]3[C@@H]2O)O)(C)C,ABD_UD_007,AfroDb
CN1Cc2c(ccc(c2OC)OC)-c3c1c4cc5c(cc4cc3)OCO5,ABD_UD_008,AfroDb
CC(=O)C[C@@H]1c2c(ccc(c2OC)OC)-c3ccc4cc5c(cc4c3N1C)OCO5,ABD_UD_010,AfroDb
