ID,SMILES,DATABASE_NAME,QED,SA
CHEMBL527,CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,CHEMBL,0.7610383797603415,3.804192843893193
CHEMBL528,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(=N)[nH]1,CHEMBL,0.2994210528888667,4.445045883179787
CHEMBL101,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,CHEMBL,0.7813822754514473,2.215335577169638
CHEMBL529,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,CHEMBL,0.23847544119122638,6.132848975793428
CHEMBL530,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,CHEMBL,0.48235981573967446,4.019735299782093
CHEMBL531,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,CHEMBL,0.9085285470025662,3.773270604794705
CHEMBL532,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,CHEMBL,0.2378725059837351,6.088310828055744
CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL,0.4725190328976435,2.6726479449984026
CHEMBL103,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,CHEMBL,0.6560565249909898,4.110217828378191
CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,CHEMBL,0.7325276241844828,2.6675072514175255
CHEMBL535,CCN(CC)CC=NC(=O)c1c(C)[nH]c(Cc2c(O)[nH]c3ccc(F)cc23)c1C,CHEMBL,0.5239809941159735,3.346161267675072
CHEMBL537,Oc1ccc(O)cc1,CHEMBL,0.49072766890152064,1.5269055331121208
CHEMBL544,COc1ccc(O)cc1,CHEMBL,0.6127725486570803,1.2464483149178651
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CHEMBL,0.45454498474207145,2.2108412569666633
CHEMBL105,COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,CHEMBL,0.16569166111666578,5.112916105592049
CHEMBL546,C=CCOc1ccccc1OCC(O)CNC(C)C,CHEMBL,0.6704564525308724,2.5362695761274754
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL,0.7515159753061997,2.769642038505438
CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,CHEMBL,0.3798624175213931,2.377831620629191
CHEMBL548,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,CHEMBL,0.37010347110627334,3.874043817431197
CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,CHEMBL,0.7170811018086075,2.6325177061175626
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CHEMBL,0.8388667572429986,3.0953406260406
CHEMBL550,CCC1C(=O)OCC1Cc1cncn1C,CHEMBL,0.7000907484342611,3.6407581528113617
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,CHEMBL,0.8325220081385356,2.9244229924405847
CHEMBL553,C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL,0.4468070007127639,3.0116341522904566
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3[nH]cnc(=Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL,0.20930343579843882,3.0394802618334973
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,CHEMBL,0.748363450121821,2.2597473786546356
CHEMBL277100,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,CHEMBL,0.6857014799619972,3.083383220432342
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CHEMBL,0.6436381792760206,2.0911053537809288
CHEMBL556,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,CHEMBL,0.05957996992949681,3.049047726151688
CHEMBL558,Cc1cccc(C)c1OCC(C)N,CHEMBL,0.7701737793320904,2.409173150598514
CHEMBL559,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL,0.38815663223607033,3.3664558268324534
CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,CHEMBL,0.5208402471010894,2.4367484218784625
CHEMBL273575,CN1Cc2c(N)cccc2C(c2ccccc2)C1,CHEMBL,0.7740399810607017,2.5939818105207415
CHEMBL561,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,CHEMBL,0.8820346880702984,3.1617481984987155
CHEMBL562,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,CHEMBL,0.8326610784751867,4.187037257183939
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CHEMBL,0.8937504426107861,2.158984650757427
CHEMBL564,CN(C)CCCN1c2ccccc2Sc2ccccc21,CHEMBL,0.8288580486751157,2.0252149996354696
