"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL556265",,0,474.54,1,0.59,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',61000,nM,4.21
"""CHEMBL3126654",,0,334.38,0,2.95,Cc1cc(Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)nc(N)n1,IC50,'=',173000,nM,
"""CHEMBL1397359",,0,367.34,0,1.86,COc1ccc(C(=O)OCC(=O)Nc2ncc([N+](=O)[O-])s2)cc1OC,IC50,'=',4450,nM,5.35
"""CHEMBL1440076",,0,523.46,1,4.23,O=C(/C=C/c1ccc(Br)cc1)NC(=S)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,IC50,'=',5220,nM,5.28
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',900,nM,6.05
"""CHEMBL557902",,0,396.43,1,-1.42,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,IC50,'=',1100,nM,5.96
"""CHEMBL558883",,0,410.46,1,-1.08,CN1C[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C(O)[C@@H]2O)C[C@H]1C(=O)O,IC50,'>',100000,nM,
"""CHEMBL558882",,0,510.31,2,-0.83,Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',21000,nM,4.68
"""CHEMBL560105",,0,502.6,2,1.03,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',7400,nM,5.13
"""CHEMBL552763",,0,599.11,2,2.96,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',6700,nM,5.17
