ID,SMILES,Data set
"""CHEMBL1358848",O=C(c1ccc(=O)oc1)N1CCOCC1,DNMT1
"""CHEMBL1372387",O=C(O)CSc1cc(C(=O)c2ccccc2O)cn2c(=O)c3c4c(sc3nc12)CCCC4,DNMT1
"""CHEMBL1434750",O=C(O)CN1C(=O)C(=Cc2cc(Br)ccc2OCc2ccc(Cl)cc2)SC1=S,DNMT1
"""CHEMBL1481077",Cc1ccc(C(=O)O)cc1-c1ccc(CC2=NC(=O)N(c3ccccc3)C2=O)o1,DNMT1
"""CHEMBL212414",Cc1ccc(NC(=O)CN2C(=O)N=C(Cc3cccn3-c3cccc(C(=O)O)c3)C2=O)cc1,DNMT1
"""CHEMBL1308055",Cc1ccc(-n2cccc2C=C2C(=N)N3C(=NC2=O)SN=C3S(C)(=O)=O)cc1Cl,DNMT1
"""CHEMBL1360585",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C(C)=CC)C3)c1,DNMT1
"""CHEMBL1361920",C=c1c(=Cc2c(O)[nH]c(=O)n(Cc3ccccc3)c2=O)cc(C)n1-c1ccc(Cl)c(C(=O)O)c1,DNMT1
"""CHEMBL3126648",Cc1cc(=Nc2ccc(NC(=O)c3ccccc3N=c3cc[nH]c4ccccc34)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL560045",Cc1nc(=N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2[nH]1,DNMT1
"""CHEMBL3414632",CC(=O)NC=Cc1ccc(O)c(-c2cc3c(O)c4c(C(=O)O)c(C(=O)O)c(O)cc4c(O)c3c(O)c2O)c1,DNMT1
"""CHEMBL318782",O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,DNMT1
"""CHEMBL1320799",NS(=O)(=O)c1ccc(N=Nc2ccc(=O)[nH]c2O)cc1,DNMT1
"""CHEMBL1715550",COc1cc(C=CC=C2CCC(=CC=Cc3ccc(O)c(OC)c3)C2=O)ccc1O,DNMT1
"""CHEMBL1423186",O=C(CSc1nc(=O)cc(O)[nH]1)Nc1ccccc1[N+](=O)[O-],DNMT1
"""CHEMBL1380580",Oc1[nH]c2ccccc2c1N=Nc1ccc(F)cc1,DNMT1
"""CHEMBL1404761",N=C1C(=Cc2coc3ccccc3c2=O)C(=O)N=C2SC(c3ccco3)=NN12,DNMT1
"""CHEMBL1503050",O=C(O)Cc1c[nH]c2cccc(O)c12,DNMT1
