SMILES,Data set
C=C(C)C1(O)CCC2(C)CCCC(C)(N=C=S)C2C1,BIOFACQUIM
COc1cc2c3c(c(SCCC(N)=O)c4c(OC)cccc4c3c1OC)NOC2=O,BIOFACQUIM
COc1cc(C=CC(=O)CSc2c3c4c(cc(OC)c(OC)c4c4cccc(OC)c24)C(=O)ON3)ccc1O,BIOFACQUIM
Oc1cc(O)cc(O)c1,BIOFACQUIM
Oc1ccc(CCc2cc(O)cc(O)c2)cc1,BIOFACQUIM
Oc1cccc(CCc2cc(O)cc(O)c2)c1,BIOFACQUIM
Cc1cc(O)cc(O)c1,BIOFACQUIM
Cc1coc2c(O)c3c(c(C)c12)C(C)CCC3,BIOFACQUIM
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC3(C)OC3C21,BIOFACQUIM
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)C(=O)C21,BIOFACQUIM
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,BIOFACQUIM
Oc1ccc2c(c1)OCC1(O)Cc3cc(O)c(O)cc3C21,BIOFACQUIM
Cc1ccc(C(C)CCC2OC2(C)C)cc1O,BIOFACQUIM
CC(C)=CCCC(C)c1ccc(C)c(O)c1,BIOFACQUIM
Cc1cc2c(C(C)C)ccc(C)c2cc1O,BIOFACQUIM
Cc1cc2c(cc1O)C1(O)Cc3c(c(C)cc4c(C(C)C)ccc(C)c34)OC1CC2C(C)C,BIOFACQUIM
Cc1cc2c(cc1O)C(C)CCC2C(C)C,BIOFACQUIM
CC(C)=CCCC(C)c1ccc(O)c(C)c1,BIOFACQUIM
Cc1ccc(C(C)C)c(O)c1,BIOFACQUIM
CC1(C)CC2(C)C1CCC1(C)CC2(O)CCC1O,BIOFACQUIM
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,BIOFACQUIM
Oc1ccc(C23Oc4cc(O)cc(O)c4C(c4c(cc(O)c5c4OC(c4ccc(O)c(O)c4)C(O)C5)O2)C3O)cc1,BIOFACQUIM
CC(C)C1CC2C(C3CC2(C)OO3)C(C)(O)C(O)C1,BIOFACQUIM
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,BIOFACQUIM
CC(C)C1C=CC(C)(O)C(O)C1O,BIOFACQUIM
CC(C)C1C=CC(C)(O)C(O)C1O,BIOFACQUIM
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC(O)C(C)=CC21,BIOFACQUIM
C=C1CCC2C(c3c(O)cc(CCCCC)cc3OC2(C)C)C1O,BIOFACQUIM
C=CC(O)C#CC#CC(O)C=CCCCCCCC,BIOFACQUIM
Cc1ccc2c(c1)OC1OC3(CCC21O)c1ccc(C)cc1OC3C,BIOFACQUIM
C=C(C)C12OC1C1(C)C(=CC2O)CCC(O)C1C,BIOFACQUIM
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)(O)C(O)C21,BIOFACQUIM
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)(O)C(O)C21,BIOFACQUIM
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,BIOFACQUIM
C=C1CC(O)C23C(C)CCC(CC12)C3(C)C,BIOFACQUIM
Oc1ccc(C2Oc3c(c(O)cc4c3C3c5c(O)cc6c(c5OC(c5ccc(O)cc5)(O4)C3O)C3c4c(O)cc(O)cc4OC(c4ccc(O)cc4)(O6)C3O)CC2O)cc1,BIOFACQUIM
Cc1ccc2c(c1)OC(O)C21CCC2(O)c3cccc(C)c3OC2O1,BIOFACQUIM
C=CC1=C(C)C2OC(O)CC3C(C)(C)CCCC3(C)C2CC1,BIOFACQUIM
Cc1cccc(C)c1C1CC2C3CC4(C)OC5(CCC(C)CC5)C(C)C4C3(C)CCC2(C)C2(C)CCC(O)CC12,BIOFACQUIM
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,BIOFACQUIM
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,BIOFACQUIM
C=C(C)C(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,BIOFACQUIM
CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,BIOFACQUIM
CCC(CCC(C)C1CCC2C3CC=C4C(C)(C)C(O)CCC4(C)C3CCC12C)C(C)C,BIOFACQUIM
C=C(C)C(C)(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,BIOFACQUIM
C=C(C)C(C)CCC(C)C1CCC2(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC12C,BIOFACQUIM
C=C(C)C(C)(C)CCC(C)C1CCC2(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC12C,BIOFACQUIM
CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,BIOFACQUIM
CC(O)C(O)CC1OCc2c(O)cccc21,BIOFACQUIM
CC1CCC2C1C1C(CCC2(C)O)C1(C)CO,BIOFACQUIM
CC1CCC2(CO)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,BIOFACQUIM
OCCc1ccc(O)cc1,BIOFACQUIM
OCCN1CC(O)C(O)C(O)C1CO,BIOFACQUIM
C=CC1=C(CO)C2OC(O)CC3C(C)(C)CCCC3(C)C2CC1,BIOFACQUIM
CCC(C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,BIOFACQUIM
OC1C(O)C(O)C(O)C(O)C1O,BIOFACQUIM
CC1=C2CC(=O)C(C)CC2C(C(C)C)C=C1,BIOFACQUIM
CC1(C)[C-2]CCC(C)(O)C(O)CCC(C)(O)CC1,BIOFACQUIM
CC1=CCCC(CO)=CCC2CCC(C)(O)C(CC1)C2(C)C,BIOFACQUIM
Cc1ccc(C(C)CCC(O)C(C)(C)O)cc1O,BIOFACQUIM
O=Cc1ccc(O)cc1,BIOFACQUIM
CC1C(=O)CCC2C1(C)CCC1C2(C)CCC2(C)C3CC(C)(C)CCC3(C=O)CCC12C,BIOFACQUIM
C=C(C)C(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(OC=O)CCC45CC35CCC12C,BIOFACQUIM
CC1=C2C(CCC1)C(=O)c1occ(C)c1C2(C)O,BIOFACQUIM
CC1=C2C(CCC1)C(=O)c1occ(C)c1C2(C)O,BIOFACQUIM
Oc1cccc2cc3ccccc3cc12,BIOFACQUIM
O=C1CC(c2ccccc2)Oc2cc(O)ccc21,BIOFACQUIM
O=C1CCC2(Oc3cccc4cccc(c34)O2)c2cccc(O)c21,BIOFACQUIM
Cc1cc(O)c2c(c1)C(=O)c1c(O)cccc1C2=O,BIOFACQUIM
O=C1CCC2(Oc3cccc4cccc(c34)O2)c2c(O)ccc(O)c21,BIOFACQUIM
O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,BIOFACQUIM
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,BIOFACQUIM
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,BIOFACQUIM
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,BIOFACQUIM
O=c1cc(-c2ccc(O)cc2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12,BIOFACQUIM
O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,BIOFACQUIM
CC(C)=CCc1c2c(c(O)c3c1OC(c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,BIOFACQUIM
O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,BIOFACQUIM
O=C1CC(c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)Oc2cc(O)cc(O)c21,BIOFACQUIM
O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,BIOFACQUIM
C=C1OC(=O)C2(C(=O)C(O)CCC2C)C1O,BIOFACQUIM
C=C1OC(=O)C2(C(=O)C(=O)CCC2C)C1O,BIOFACQUIM
CC(C)c1c(O)c(O)c2c(c1O)C(=O)CC1C3(CCCC1(C)C(=O)O3)C2,BIOFACQUIM
CC(C)=c1c(O)c(O)c2c(c1O)C=CC1C3(C=2)CCCC1(C)C(=O)O3,BIOFACQUIM
CC(C)=c1c(O)c(O)c2c(c1O)C=C1OC(=O)C3(C)CCC(=O)C(C=2)C13,BIOFACQUIM
CC(C)C1C(=O)C(O)c2cc3c4c(c(=O)c2C1O)OC(=O)C4(C)CCC3O,BIOFACQUIM
CC(C)c1c(O)c(O)c2cc3c4c(c(=O)c2c1O)OC(=O)C4(C)CCC3,BIOFACQUIM
CC(C)=c1c(O)c(O)c2c(c1O)C=C1OC(=O)C3(C)CCCC(C=2)C13,BIOFACQUIM
CC(C)=c1c(O)c(O)c2c(c1O)C=C1OC(=O)C3(C)CC=CC(C=2)C13,BIOFACQUIM
CC1(C)C=Cc2c(ccc3c2NC(=O)C32CC34NC(=O)C5(CCCN5C3=O)CC4C2(C)C)O1,BIOFACQUIM
CC1=CC(O)(C(C)C)C(=O)c2cc(C)c(O)cc21,BIOFACQUIM
O=C1c2cc3ccoc3cc2OC2COc3cc4c(cc3C12)OCO4,BIOFACQUIM
CC1(C)C=Cc2c(cc3occ(-c4cc5c(cc4O)OC(C)(C)CC5)c(=O)c3c2O)O1,BIOFACQUIM
CC(C)=CCc1c2c(c(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc13)CCC(C)(C)O2,BIOFACQUIM
CCCC1OC(=O)C(O)CCC=CC(O)C1O,BIOFACQUIM
O=C1C(O)c2c(O)cc(O)cc2OC1c1ccccc1,BIOFACQUIM
C=CC(C)(C)C12Nc3c(O)cccc3C1(O)CC1C(=O)OC(Cc3ccccc3)C(=O)N12,BIOFACQUIM
Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,DNMT1
COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,DNMT1
C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1,DNMT1
O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,DNMT1
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1,DNMT1
CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,DNMT1
CCc1ccc(-c2cc(=NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CCC)C3)c1,DNMT1
O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,DNMT1
O=C(COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,DNMT1
COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,DNMT1
O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12,DNMT1
COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
CCc1ccc(-c2cc(=NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,DNMT1
Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,DNMT1
O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,DNMT1
COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1,DNMT1
CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC,DNMT1
Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
N=c1[nH]cnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
COc1ccc(-c2nn(-c3ccccc3)cc2C=C2SC(=S)N(CCC(=O)O)C2=O)cc1,DNMT1
O=C(C=Cc1ccco1)N=CC(=O)NNc1c(O)[nH]c2ccccc12,DNMT1
CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,DNMT1
O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1,DNMT1
CCN(CC)CCCN=c1[nH]c2cc(OC)c(OC)cc2c2nc(-c3cccnc3)nn12,DNMT1
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(Sc2cccc3ccccc23)o1,DNMT1
Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O,DNMT1
O=C1C=C(N2CC2)c2ccccc2C1=O,DNMT1
CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,DNMT1
COc1ccc(-c2csc(=NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)[nH]2)cc1,DNMT1
COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1,DNMT1
COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,DNMT1
COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,DNMT1
N=c1[nH]ccc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
NC(CCSCC1OC(n2cnc3c(=NCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
COc1ccc(C(=O)OCC(=O)N=c2[nH]cc([N+](=O)[O-])s2)cc1OC,DNMT1
O=C(C=Cc1ccc(Br)cc1)NC(=S)Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,DNMT1
N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
N=c1[nH]cnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O,DNMT1
N=c1[nH]c(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
NC(CCSCC1OC(n2cnc3c(=NCCCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
NC(CCSCC1OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)C(O)C1O)C(=O)O,DNMT1
COc1ccc(C(=O)C=Cc2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O,DNMT1
