ID,SMILES_no_chiral,SMILES_chiral,NPL_score
FQNP294,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(OC(=O)CC(CC(=O)O)C(=O)O)C(C)CC(O)CCCCC(O)CC(O)C(C)N,CCCC[C@@H](C)[C@@H](OC(=O)CC(CC(=O)O)C(=O)O)[C@@H](OC(=O)CC(CC(=O)O)C(=O)O)[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N,0.797
FQNP157,CC(OC(=O)C=Cc1cccc(O)c1)C(=O)C1CC1C(O)C1C=CCC(=O)O1,CC(OC(=O)/C=C\c1cccc(O)c1)C(=O)C1C[C@@H]1[C@H](O)[C@H]1C=CCC(=O)O1,1.666
FQNP156,COc1ccc(C=CC(=O)OC(C)C(=O)C2CC2C(O)C2C=CCC(=O)O2)cc1,COc1ccc(/C=C/C(=O)OC(C)C(=O)C2C[C@@H]2[C@H](O)[C@H]2C=CCC(=O)O2)cc1,1.431
FQNP155,CC(OC(=O)C=Cc1ccc(O)cc1)C(=O)C1CC1C(O)C1C=CCC(=O)O1,CC(OC(=O)C=Cc1ccc(O)cc1)C(=O)C1C[C@@H]1[C@H](O)[C@H]1C=CCC(=O)O1,1.69
FQNP158,COc1ccc(C=CC(=O)OC(C)C(=O)C2CC2C(O)C2C=CCC(=O)O2)cc1O,COc1ccc(/C=C/C(=O)OC(C)C(=O)C2C[C@@H]2[C@H](O)[C@H]2C=CCC(=O)O2)cc1O,1.66
FQNP33,CC1Cc2c(O)c(OC3OC(CO)C(O)C3O)cc(O)c2C(=O)O1,CC1Cc2c(O)c(O[C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc(O)c2C(=O)O1,2.691
FQNP653,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,2.143
FQNP120,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1.579
FQNP39,CCCCC(OC1OC(CO)C(OC)C(OC)C1O)C1C=C(OC)CC(=O)O1,CCCC[C@H](O[C@@H]1O[C@H](CO)[C@@H](OC)[C@H](OC)[C@@H]1O)[C@@H]1C=C(OC)CC(=O)O1,1.991
FQNP59,COc1ccc(C=CC(=O)OC(C)C2CCC(C(O)C3C=CCC(=O)O3)O2)cc1,COc1ccc(/C=C\C(=O)O[C@@H](C)[C@@H]2CC[C@H]([C@H](O)[C@H]3C=CCC(=O)O3)O2)cc1,1.286
FQNP60,CC(OC(=O)C=Cc1ccc(O)cc1)C1CCC(C(O)C2C=CCC(=O)O2)O1,C[C@H](OC(=O)C=Cc1ccc(O)cc1)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,1.54
FQNP61,COc1ccc(C=CC(=O)OC(C)C2CCC(C(O)C3C=CCC(=O)O3)O2)cc1,COc1ccc(/C=C/C(=O)O[C@@H](C)[C@@H]2CC[C@H]([C@H](O)[C@H]3C=CCC(=O)O3)O2)cc1,1.286
FQNP62,CC(OC(=O)C=Cc1ccc(O)cc1)C1CCC(C(O)C2C=CCC(=O)O2)O1,C[C@H](OC(=O)C=Cc1ccc(O)cc1)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,1.54
FQNP63,CC(OC(=O)C=Cc1ccc(O)c(O)c1)C1CCC(C(O)C2C=CCC(=O)O2)O1,C[C@H](OC(=O)C=Cc1ccc(O)c(O)c1)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,1.642
FQNP291,Cc1ccc(C(C)C(C)CC(OC2OC(CO)C(O)C(O)C2OC2OCC(O)C(O)C2O)C(C)(C)O)cc1O,Cc1ccc(C(C)[C@H](C)C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)C(C)(C)O)cc1O,1.686
FQNP193,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1,N#C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,1.334
FQNP228,COc1cc(OOC2OCC(O)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,COc1cc(OO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,1.51
FQNP227,COc1cc(OOC2OCC(CO)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,COc1cc(OO[C@H]2OC[C@H](CO)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,1.559
FQNP225,O=c1cc(-c2ccc(O)c(O)c2)c2c(OOC3OCC(O)C(O)C3O)cc(O)cc2o1,O=c1cc(-c2ccc(O)c(O)c2)c2c(OO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2o1,1.777
FQNP616,Cc1cc2c(C(C)C)ccc(C)c2cc1OCc1ccccc1,Cc1cc2c(C(C)C)ccc(C)c2cc1OCc1ccccc1,-0.019
FQNP137,COc1cc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,1.956
FQNP226,COc1cc(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,1.633
FQNP224,O=c1cc(-c2ccc(O)c(O)c2)c2c(OC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)cc(O)cc2o1,O=c1cc(-c2ccc(O)c(O)c2)c2c(O[C@@H]3O[C@H](CO[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2o1,1.837
FQNP247,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,1.427
FQNP253,CC(C)(O)C(O)COc1c2ccoc2cc2oc(=O)ccc12,CC(C)(O)C(O)COc1c2ccoc2cc2oc(=O)ccc12,1.558
FQNP478,CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.93
FQNP200,COc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,COc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,1.661
FQNP124,COc1ccc(CO)cc1,COc1ccc(CO)cc1,0.231
FQNP109,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,1.123
FQNP222,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,1.313
FQNP242,COc1ccc2ccc(=O)oc2c1,COc1ccc2ccc(=O)oc2c1,0.409
FQNP539,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(O)cc2c1,COc1cc(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(O)cc2c1,1.806
FQNP540,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(-c3ccc(O)c(O)c3)cc(O)cc2c1,COc1cc(OC2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(O)cc2c1,1.806
FQNP312,COc1cc(O)cc(CCc2ccc(O)cc2)c1,COc1cc(O)cc(CCc2ccc(O)cc2)c1,0.648
FQNP313,COc1cccc(CCc2cc(O)cc(OC)c2)c1,COc1cccc(CCc2cc(O)cc(OC)c2)c1,0.38
FQNP130,COc1cc(O)cc(CCc2cccc(O)c2)c1,COc1cc(O)cc(CCc2cccc(O)c2)c1,0.602
